epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.17,1.552,1.42216,1.1706,0.78656,0.41788,0.60574,0.39258,1.66311,1.70856,1.13927,0.000658436,0.000658436,0.000658436
2,510.461,1.52116,1.27308,1.16034,0.77287,0.6094,0.73321,0.45905,1.48691,1.3024,1.08349,0.00119392,0.00119392,0.00119392
3,781.354,1.45833,1.14918,1.1334,0.78619,0.65661,0.76587,0.51105,1.44278,1.15956,1.09004,0.0015974,0.0015974,0.0015974
4,14269.6,1.40403,1.05196,1.11767,0.7747,0.69499,0.78154,0.49982,1.4731,1.12246,1.07912,0.001406,0.001406,0.001406
5,14517.5,1.34874,0.96663,1.08867,0.79086,0.73175,0.81447,0.53839,1.30147,1.09371,1.02569,0.001208,0.001208,0.001208
6,17816.2,1.31105,0.92483,1.06444,0.80915,0.7646,0.83813,0.55752,1.32337,0.93981,1.02352,0.00101,0.00101,0.00101
7,18070.8,1.26977,0.8641,1.04992,0.85522,0.79953,0.87429,0.60119,1.24747,0.8396,0.99578,0.000812,0.000812,0.000812
8,18337,1.21171,0.81084,1.01799,0.8538,0.8099,0.87634,0.62178,1.19277,0.80635,0.9798,0.000614,0.000614,0.000614
9,18610.9,1.16521,0.77546,1.01085,0.87495,0.81908,0.88799,0.642,1.17241,0.77382,0.97153,0.000416,0.000416,0.000416
10,18885,1.11865,0.73934,0.9851,0.88427,0.82266,0.90008,0.65478,1.12721,0.73552,0.96424,0.000218,0.000218,0.000218
